@lat	@lon	name	tourism	historic	amenity
39.4737141	-6.3695882	Museo Árabe de Yusuf al Burch	museum		
39.4760562	-6.3708340	Palacio del Duque de Abrantes		castle	
37.0156991	-6.5675533		attraction		
37.0157208	-6.5729029		viewpoint		
37.0147172	-6.5724482		viewpoint		
37.9587940	-6.1605620	Castillo de las Torres		castle	
37.1046297	-8.6743370	Vista â Marina	viewpoint		
39.7169051	-6.8806209	Fuente del Pilar		monument	
37.0795769	-8.6686133	Ponta da Piedade	viewpoint		
38.0113289	-7.8577110	Museu de Arte Sacra	museum		
40.8589621	-8.6246621	Museu de Ovar	museum		
41.0912971	-7.8024630		viewpoint		
40.9797412	-7.8870968			monument	
37.1889663	-8.4388873	Museu Municipal de Arqueologia de Silves	museum		
37.0038786	-6.5583706		viewpoint		
37.0055319	-6.5612402		viewpoint		
38.0386487	-6.6162780		viewpoint		
37.2954659	-7.0753838		viewpoint		
37.2094905	-7.0394969		viewpoint		
38.7431139	-9.1710556		viewpoint		
38.7431618	-9.1709760		viewpoint		
38.7432354	-9.1707117	Comboio do Zoo	attraction		
38.7452158	-9.1724306		viewpoint		
41.3544937	-8.7443577			monument	
41.3509045	-8.7416235	Monumento à Rendilheira de Vila do Conde		monument	
38.2483317	-6.3107931	Casa de Zurbarán	museum		
40.2295511	-7.8247570	Piódão	attraction		
41.8946081	-8.8691914	Miradoiro de Santa Trega	viewpoint		
41.8886103	-8.8707593		viewpoint		
41.8907497	-8.8713723	Miradoiro de Manuel Lomba	viewpoint		
37.4226069	-7.4546385		viewpoint		
38.7380693	-9.4042237	Ibn Mucana	attraction	memorial	
37.1590679	-7.9080063	Miradouro do Alto da Arroteia	viewpoint		
41.8169259	-8.8542772		viewpoint		
37.1792393	-7.4685262		viewpoint		
37.1056158	-8.9386272	Miradouro de Cordoama	viewpoint		
37.6391288	-7.6655112		viewpoint		
37.2087686	-6.1768104		viewpoint		
41.6984096	-7.7312773	Fonte dos Amores	attraction		
37.1965820	-8.9171677		viewpoint		
37.2558387	-8.0934831		viewpoint		
41.0717485	-8.0903472	Museu Serpa Pinto	museum		
38.7145962	-9.1342613	Torre de São Lourenço	viewpoint		
39.2219540	-7.2446839		viewpoint		
40.4251341	-7.2224970	Fráguas	viewpoint		
37.1075969	-7.7780023	Miradouro	viewpoint		
37.3016592	-7.9504063	Miradouro do Caldeirão	viewpoint		
40.5747626	-8.4379124	Miradouro de São Pedro	viewpoint		
40.5667452	-8.4578204	Miradouro da Curva do Simão	viewpoint		
39.1234989	-7.2829659	Museu D'Abrincar	museum		
41.6772713	-7.6216177		viewpoint		
38.9170562	-6.3467238	Museo del Arte Visigodo	museum		
37.9531648	-6.1545975	Castillo Real de la Jara		castle	
41.6311397	-8.3514986	Museu de Artes Tradicionais	museum		
39.6429260	-8.5912536	Pelourinho de Ourém	attraction	pillory	
39.6429391	-8.5911583		viewpoint		
39.6432365	-8.5916401	Casa Paroquial de Ourém	attraction		
39.6424522	-8.5935133		viewpoint		
39.6414307	-8.5921621	Castelo de Ourém		castle	
39.6421086	-8.5908589	Miradouro dos Cónegos	viewpoint		
38.5704250	-7.9053132	Chafariz das Portas de Moura	attraction	fountain	fountain
37.0960290	-8.6771455		viewpoint		
40.3308343	-7.0952163		viewpoint		
39.7232806	-6.8934775	Torre del Oro		castle	
39.6043108	-8.4170385		viewpoint		
39.6058334	-8.4165200		viewpoint		
39.6031882	-8.4175853		viewpoint		
40.5535518	-8.1788608	Miradouro do Cabeço da Neve	viewpoint		
38.7859383	-9.3891948		viewpoint		
38.8831670	-6.9685755	Alcazaba de Badajoz	attraction	castle	
38.7080357	-9.1391960	Pelourinho de Lisboa	attraction	pillory	
41.0022757	-7.7805331	Miradouro da Padiela	viewpoint		
40.5806029	-8.1762621	Pinoucas	viewpoint		
41.1721386	-8.4796221	Rio Ferreira e Rio Simão	viewpoint		
40.5353290	-8.4755070		viewpoint		
41.3128282	-7.1502833	Miradouro da Senhora da Lapa	viewpoint		
41.3121328	-7.1501997	Miradouro da Senhora da Lapa 2	viewpoint		
41.3069346	-7.1525516	Pelourinho de Vila Flor	attraction	pillory	
37.0770672	-7.7062411		viewpoint		
41.7577392	-8.5857400	Associação Florestal do Lima	attraction		
40.7757401	-7.0626186	Museu Municipal de Pinhel	museum		
39.7213212	-6.8901358		viewpoint		
40.1845046	-8.6779923	Miradouro de Montemor-o-Velho	viewpoint		
40.5326466	-8.3615642	Sobreiro	attraction		
41.4427565	-8.2964935	Sociedade Martins Sarmento	museum		
37.0766491	-8.2941949	Gaiola	attraction		
37.0835589	-8.2590811		viewpoint		
37.0830426	-8.2611388		viewpoint		
37.1451824	-8.2827526		viewpoint		
37.1859822	-8.4464813	Fissul	attraction		
37.0793624	-8.2803235	São Rafael Inauguration Memorial	attraction	memorial	
37.2845715	-8.5538407		viewpoint		
38.6956474	-9.2093100	Museu de Arte Contemporânea MAC/CCB	museum		
41.5328326	-8.6180900	Chafariz do Campo da Feira	attraction		fountain
37.2568519	-8.1537161		viewpoint		
39.5114141	-8.4890710	Antiga Cooperativa Agrícola - Lagar de Azeite	museum		
41.5502949	-8.4294263	Museu da Imagem	museum		
37.2503837	-8.1151056	Minimuseu	museum		
40.8383103	-8.3429234		viewpoint		
40.8382755	-8.3429476		attraction	wayside_cross	
41.0930875	-7.3277727	Miradouro da Senhora do Viso	viewpoint		
37.2527012	-8.2871313	Museu do Traje e das Tradições	museum		
41.5972467	-8.4670931	Quinta da Botica	attraction		
41.5295688	-8.7796621	Pelourinho de Esposende	attraction	pillory	
40.9373099	-8.1725812	Mira Paiva	attraction		
40.9244169	-8.1201957	Icnofósseis de Meitriz	attraction		
40.9583833	-8.2045167	Icnofósseis da área de Vilarinho	attraction		
40.8919444	-8.2581111	Bolas quartzodioríticas dos Viveiros da Granja (Pedras Cebola)	attraction		
40.8611503	-8.1170923	Drave	attraction	hamlet	
40.9935483	-8.2113502	Falha da Espiunca	attraction		
40.9730556	-8.2461111	Icnofósseis de Vila Cova	attraction		
41.5303247	-8.7903007		viewpoint		
38.8939605	-8.0174089	Museu Manuel Ribeiro de Pavia	museum		
41.2771292	-8.2827962	"Dom António Augusto de Castro Meireles, Bispo do Porto"		monument	
41.5661306	-8.7876905	Moinho de Vento	attraction		
41.5649151	-8.7869710	Azenha	attraction		
41.5282779	-8.6225665	Pelourinho de Barcelos	attraction	pillory	
41.2251309	-7.0836247	Miradouro de São Gregório	viewpoint		
41.1660723	-7.0589323	Miradouro de São Bento e de Santa Leucádia	viewpoint		
38.8776894	-6.9652174	"Escudo Casa noble de ""Los Calderas"""		monument	
38.7560149	-8.9636375	Museu Municipal de Alcochete - Núcleo de Arte Sacra	museum		
37.1255708	-7.6520504	Câmara Obscura	attraction		
38.6994650	-9.2843493	Clube Português de Automóveis Antigos	museum		
37.7081481	-6.5930475	Mirador Cerro Colorado	viewpoint		
40.1724558	-6.7805289	Castillo de Trevejo		castle	
40.4177804	-7.6944744	Museu Nacional do Pão	museum		
37.2187270	-7.4416601	Castelo de Castro Marim		castle	
38.8818445	-7.1641692	Pelourinho de Elvas	attraction	pillory	
40.5677160	-8.3655644	Casa Feliciano Castilho	attraction		
41.7236902	-8.1294847	Miradouro da Cascata do Arado	viewpoint		
38.7751509	-9.1648109	Museu Nacional do Traje e da Moda	museum		
38.7747602	-9.1669369	Museu Nacional do Teatro e da Dança	museum		
40.2052093	-8.4254710	Museu dos Transportes Urbanos de Coimbra	museum		
37.5963164	-8.6426611		viewpoint		
37.8910555	-6.5658646	Gruta de las Maravillas	attraction		
37.8912014	-6.5659615	Gabinete Geominero y Centro de Interpretación de Aracena	museum		
39.6574820	-8.8249609	Museu Comunidade Concelhia da Batalha	museum		
41.2206625	-6.5696628	Pozo de los Humos	viewpoint		
